,progress_10_years_tr
5251,
5252,
5253,Will pass a law punishing domestic violence 
5254,
5255,I would like to see 
5256,"Widespread involvement in solving the problems of discrimination and harassment of women, full equality at the level of legislation, the state agenda includes the ideas of feminism."
5257,15-2/% improvement
5258,
5259,
5260,Equal conditions in employment. Adoption of the law on domestic violence. 
5261,
5262,
5263,"Global change in cultural perception, equality in rights, conscious work of society towards positive changes"
5264,
5265,"Changing people'`s thinking, the absence of sexist jokes, the normalization of the mention of sex life, the topic of menstruation"
5266,"Equality with men in hiring, the ability to imprison a person for harassment and violence, the absence of victimbleming, the elimination of the chauvinmist movement ""men'`s state"". "
5267,
5268,
5269,
5270,
5271,
5272,I hope for a bright future
5273,
5274,
5275,
5276,
5277,"Adoption of a law on domestic violence, equal pay, other things being equal, cessation of accusations against the victim "
5278,
5279,
5280,"It'`s be great, abuse of women and girl child will stop.  Empowering women to help the economy of our Nation'`s etc."
5281,"The ability to dispose of your body, protection from domestic violence, sexual and parental education, equal conditions and opportunities for work."
5282,"I hope that our country will finally adopt a law against domestic violence and the police will begin to take seriously the problems of women, including those who have been subjected to physical or psychological violence."
5283,
5284,
5285,
5286,
5287,
5288,
5289,"While much progress is being made in several developed countries, in Cameroon, much remains to be done.  If concrete measures are not taken urgently, we may face a deterioration in the state of women'`s rights.  I am afraid for my country, which does not necessarily follow the progress observed on a global scale. "
5290,
5291,
5292,Interesting and a welcomed development.
5293,
5294,Nohow
5295,"There is no infringement of rights in the field of labor, LGBT and other people."
5296,
5297,"Efficient, productive. "
5298,
5299,
5300,
5301,
5302,"this person will be responsible for the problem, try to consider it from all sides and quickly eliminate it"
5303,"Gender separation at all levels will cease to exist, but there will be additional refinements that contribute to a more pointed and individual solution to problems. "
5304,
5305,"Women will be able to safely manage their reproductive health, there will be no harassment and inequality on the basis of gender "
5306,Girls will make up about or more than 50% of high-ranking positions. The president of the country will be a woman. 
5307,Humm
5308,"People will be taught to be human, not abandoned to the mercy of hatred. "
5309,I don'`t want to
5310,Reasonable equality. 
5311,
5312,
5313,
5314,"At the moment, in our city there are quite a few active representatives of human rights for women. And if everything remains so, then in 10 years nothing will change."
5315,
5316,"Women have no less rights than men - not only in words, but in fact. "
5317,
5318,"Human rights are HUMAN rights, regardless of gender, race or social level. As long as we divide men and women, Russians and newcomers, poor and rich, nothing will change, no matter how much you rebel.  "
5319,Perhaps in our country they will no longer prefer men when hiring due to the fact that a woman goes on maternity leave. 
5320,
5321,
5322,"To ensure that everyone is equal, LGBT people were not banned in Russia "
5323,
5324,-
5325,
5326,"1. Equality of salaries for men and women holding the same position. \r\n2. Revision of the list of ""prohibited"" professions for women. "
5327,"The law ""on domestic violence"" will be tightened "
5328,
5329,
5330,
5331,
5332,
5333,
5334,
5335,"Increased security in all spheres of life, complete management of their lives "
5336,
5337,
5338,
5339,
5340,"Minimization of domestic violence, violence against women in general. Revised sentences regarding self-defense (often behind bars women are precisely because of this). Conditions should be created to support disabled people, women with disabled children who have decided to leave their child, to be provided with medicines. The level of education should be raised, including for people with developmental delays, to talk about possible pathologies (hereditary and because of bad habits). Pregnancy and childbirth should be conscious, a woman should understand and make the right choice."
5341,
5342,
5343,
5344,
5345,
5346,"With the current trends, I think women will achieve the right to work in all spheres, and will receive equal wages with men. I would like to see a change in the perception of a woman when hiring, so that gender characteristics do not affect the decision of the management "
5347,
5348,"Women will cease to be oppressed by unnecessary problems. It will become easier on the career ladder. Life and comfort at home will extend not only to the female sex, but also to the male sex. So that the achievement of ""equality"" does not grow into something terrible. Such as the correction of women into men, on the principle of male equality... When a woman creates and builds a career. I think in 10 years the understanding of equality will be changed, the new generation treats these problems more thoughtfully. So it'`s smarter. And I think it will be easier to become the first woman president. "
5349,
5350,"equal pay, less domestic abuse "
5351,
5352,
5353,
5354,
5355,
5356,
5357,
5358,
5359,"The right to abortion (not only for medical reasons), the expansion of the list of professions where women can work, the criminalization of domestic violence. "
5360,
5361,
5362,
5363,
5364,
5365,
5366,
5367,
5368,Women'`s  human rights have greatly improved especially by the government in our country.
5369,
5370,"Reproductive rights, independence and autonomy"
5371,"at the legislative level, prohibit discrimination against women on the basis of sex, so that they can relate to their bodies as they themselves want"
5372,
5373,
5374,In 10 years it will look brighter and well acknowledged if we can find a strong foundation and enabling environment. 
5375,
5376,
5377,
5378,"All women in the world will be allowed to operate all kinds of equipment, including activities and activities that are now run by purely men. \r\nShunts about the female mind/behavior/character will be an insult and will be unacceptable in modern society. \r\nThe sacrifices of violence will not be blamed and the phrase ""she is to blame"" will go out of people'`s minds. \r\nYoye people whose votes in our country are not counted now will have a lot of weight"
5379,
5380,Using the words WOMAN MOTHER BREAST SEX without being abused and gender being put back in the drawer. 
5381,"The perception of women without sexual objectification, the upbringing of girls on an equal footing with boys, the remuneration and employment equal to men, the significant reduction of domestic violence against women, the perception of women not as servants for the home."
5382,
5383,
5384,
5385,
5386,Reducing domestic violence
5387,
5388,
5389,
5390,
5391,Ending violence and discrimination against women
5392,
5393,
5394,Will still be on the floor 
5395,I very much hope that Russia will adopt a law on criminal liability for violence against women by their husbands / young people For this they will be imprisoned. 
5396,
5397,
5398,Self-employed and hard-working women
5399,
5400,"In Russia - no way. The maximum will make a mandatory call for women, but this is rather a minus"
5401,"Work with '`eastern'` countries and their traditions, reduce child marriage, reduce honor killings, more resources and assistance for women victims of violence, quality honey. Helping women, reducing '`brides'` kidnappings, more reproductive freedom "
5402,
5403,"Belittling of women at work will stop, equal pay with men, harassment at work will stop"
5404,
5405,Not much different from what we have now.  I believe we have planted some seeds and the germination and then further growth period would take more than ten years. However I believe we are taking steps in the right direction.  When most of us in society finally get on the same page the growth towards gender equality in every area of life would go a lot fast . 
5406,
5407,"Freedom of speech, no Murzh professions, no professions for everyone, no pressure and pressure on the LGBT community"
5408,
5409,
5410,"I believe that in the future, when choosing a person for a position, or when looking for a partner for friendship or relationships, people will stop looking at gender characteristics, and will pay attention to personal qualities and skills. The world is free from fear, stigma and stereotypes"
5411,
5412,
5413,
5414,
5415,
5416,
5417,
5418,"My hope is to see more women engaging in all activities freely without being underestimated, undermined and harrasst. \r\nI wish to see more educated women. \r\nI wish child marriages to decrease. \r\nI wish to see more women working together. "
5419,"Nothing will change for the better. On the contrary, women'`s rights will be further infringed."
5420,"Reproductive freedom, full equality of the sexes in the rights and in relation to them of society, equal wages"
5421,
5422,"In the countries of the East, violence and humiliation of women will partially cease, and the right to obtain professions and new opportunities will appear. "
5423,
5424,
5425,"In Russia, progress will be very slow, if at all. I don'`t see a Russian woman free in 10 years. "
5426,Well done
5427,
5428,
5429,
5430,
5431,
5432,"I don'`t know how to describe it. Then, when I can safely go out for a walk, calmly dress as I like. "
5433,"There is no need to be ashamed of your body and shame other women for the way they manage their bodies. The list of professions prohibited for women is decreasing. It is easier to get adequate medical advice. Maintaining reproductive health is not a secret, sex education is becoming the norm. "
5434,
5435,
5436,
5437,"Yes, I think that everything is so good."
5438,"Equalization of average income for men and women in all positions, respect for women by men in the age category up to 40 years, no ban on professions, no prejudice against women in any position, active fight against prostitution "
5439,
5440,
5441,
5442,I hope women will know their rights and let men know about them. 
5443,
5444,"LGBT chairmen will cease to be condemned and humiliated, there will be no ban on marriages at the state level. Education and human rights will be enhanced thanks to the work of FBK and the change of power. "
5445,
5446,"equal pay and lower levels of harassment, reduction of forced marriages and female circumcision"
5447,
5448,
5449,
5450,
5451,
5452,
5453,
5454,I do not believe that anything can change in the Russian Federation with such a political situation. 
5455,
5456,
5457,"Lack of reproductive pressure, condemnatory attitude to violence, support for victims of violence. Full rights for LGBTQ people"
5458,
5459,
5460,"If the government changes, I count on the law on domestic violence, equal salaries, dissemination of information about feminism and rights."
5461,Social and cultural equality of women with men
5462,
5463,
5464,"The lack of harassment (on the street, in institutions), the lack of domestic violence, social equality, the maintenance of social minorities. Equality regardless of race, gender, orientation. "
5465,
5466,-
5467,"Women having equal voices and respect as our male counterparts, at home and workplace and in the community. "
5468,
5469,
5470,Will improve and stable
5471,
5472,
5473,
5474,
5475,All people are equal. Women are treated the same as everyone else.
5476,
5477,
5478,
5479,
5480,
5481,
5482,
5483,
5484,"Real equality of opportunity and wages, not only on paper \r\nAbility to be parents / adoptive parents regardless of marriage / age / opinion of employees of social services. Following the letter of the law"
5485,"A woman will cease to be primarily the object of sexual desire. Any attack on a woman is condemned by society and punished. Police come to calls about domestic violence, women can start life again with the help of special organizations. The discrimination of women associated with the so-called men'`s work will go away. "
5486,
5487,
5488,
5489,
5490,
5491,"I would like to have fully equal rights that would be aimed at improving the quality of life, not statesmen."
5492,"Equal salaries, abolition of forbidden professions, eradication of victim bleming, respect, adoption of the law on domestic violence "
5493,"Women are not afraid to go out in clothes that they like, women are not afraid to walk in dark alleys, women have the right to work in any field, women receive a salary not lower than men'`s, women are not ashamed of their characteristics and do not adjust their bodies to the standards of society, women do not oppress each other and do not spread internal mesogyny,  women and men treat each other with respect. Unexplored problems of women'`s health have been studied and women are helped: doctors do not advise ""go give birth and all problems will pass."" Society does not impose on women the idea of marriage and the need for offspring ""before it is too late."" "
5494,A woman must remain a woman!
5495,
5496,
5497,
5498,
5499,
5500,
5501,
5502,"More women in leadership positions, for example."
5503,
5504,"Disappearance of forbidden professions, salaries at the level with men, working laws on domestic violence and harassment also outside the family, criminalization of prostitution"
5505,
5506,Ok
5507,More women politicians will appear in Russia; large companies will investigate cases of harassment
5508,
5509,
5510,
5511,
5512,"Women are not belittled by gender in universities, at work. Women herself manage her body, no one tells her that it'`s time to give birth, or it'`s time to cut off long hair. "
5513,Equality
5514,"If women do not fight for their rights, but will be afraid and sit silently, forgive, then nothing will change. For the rights of women should fight not only themselves, but also men, the whole family of women, whose rights are infringed.In countries where women are considered slaves, a clear spiritual stagnation, which leads to the degradation of the world as a whole, and not only a particular country.Laws should be revised long ago.Religious laws should also be revised in such countries, because these laws are cruel, encouraging and forgiving violence against girls, Religious laws need to be touched upon, no matter what they say, if they are pernicious.And if they allow the above, then these are not holy laws leading to enlightenment and development, but laws invented for the sake of power and suppression of the will.\r\nThe same so much exists our world, and we still have some fucking gender inequality that is beneficial to someone.It is necessary to put in the place of those , who ""got stuck"" "
5515,
5516,"Laws protecting women from violence, freedom to make decisions about their bodies, economic equality at work"
5517,
5518,On the positive side. I think women'`s rights should and will be expanded every year
5519,No restrictions on the choice of profession\r\nAbility to dispose of your body and decide what to do with it\r\nInstowning in the country the law on domestic violence and the law on harassment
5520,"Reduction of slatshaming, equal pay, domestic violence law, sex education"
5521,
5522,"With more advocacy and education it will be better,  more women will have a voice"
5523,
5524,"At this point, I can'`t reason how things will be. I want to believe that all women will be able to freely and without fear of being raped to walk the streets at night. I want all stereotypes to be defeated, so that men finally stop boasting that they are physically stronger. Now is a new time. Time for equality. Just because I was born a woman doesn'`t make me any worse. And I don'`t have to get married and have children if I don'`t want to. And I don'`t want that. "
5525,
5526,
5527,
5528,"The ability to choose life, its image without the guidance of teachers, parents, the environment as a whole, while not harming others.\r\nAbility to develop both in the field of a housewife and to be a welder. \r\nAbility to receive free decent education. The ability to go out without fear in the dark. Do not be afraid to visit bars and restaurants. Live peacefully. Without harming yourself and others. "
5529,
5530,
5531,
5532,
5533,
5534,
5535,"Women will be free to choose their life path, education, family and career. Women will not be harassed, vile comments towards women will stop, women will cease to be afraid to go out at night."
5536,
5537,"No gender inequality, woman equal to man"
5538,
5539,Women and men will be fully equal
5540,Equal salaries 
5541,"Disappearance of the list of prohibited professions, improvement of the situation in the reproductive sphere, perhaps the law on domestic violence"
5542,
5543,There will be no progress
5544,
5545,
5546,
5547,
5548,
5549,
5550,
5551,
5552,"If the economy also falls, there is likely to be little change, as there is no basic funding to solve the problems. Also, to solve many of these problems, there are not enough educated people in this area and, accordingly, similar jobs."
5553,Hopefully promising. 
5554,
5555,"It is difficult to imagine something good, the violation of women'`s rights is mainly due to the cultural characteristics of society, so it is worth changing it"
5556,Lack of condemnation from other women in the first place. 
5557,"With the men of Russia, I can'`t even imagine what progress will be. I'`m scared for our women."
5558,"Criminalization of domestic violence, equal conditions of education and work for women, tougher punishment for crimes of a sexual nature "
5559,
5560,
5561,
5562,
5563,Women in power\r\nLeegal abortions\r\nWonds in top management 
5564,
5565,
5566,
5567,
5568,
5569,Minimal improvement 
5570,"Ability to work in all professions without restrictions, absence of reproductive pressure, the ability to sue for harassment, the ability to marry a woman or a non-binary person"
5571,
5572,
5573,Empowering women all around the world 
5574,
5575,"Reproductive freedom, equal pay, access to all professions "
5576,Lack of social pressure due to stereotypes 
5577,
5578,
5579,"In every nation of the world, human rights and freedoms for women will be enshrined in law. At the same time, it is unlikely that they will be observed in fact."
5580,I don'`t know
5581,"Social, economic and political empowerment"
5582,Free
5583,80
5584,"In Afrque especially, that the phrase ""the place of the woman is in the kitchen"" is me thought and used "
5585,
5586,"A man and a woman are equal in family law, as well as in the assessments of their behavior by others. Such beliefs that women should not be cheated on, and men can that only a woman should be engaged in raising children, that a woman should not file for divorce, will disappear."
5587,Di see more women dying because of them being women 
5588,Won'`t change 
5589,
5590,Not much better .. been going on since creation
5591,
5592,We will get better if all hands can be on deck 
5593,
5594,"access to all opportunities and benefits on an equal basis with men, non-discrimination, active fight against violence and harassment against women "
5595,Overthrow of the Patriarchate
5596,A woman will become president. Women will be able to marry a woman officially. 
5597,The list of prohibited professions will be canceled. Reproductive violence by the authorities will stop. There will be as many women in politics and leadership positions as there are men. 
5598,
5599,
5600,
5601,Freedom from  molestation \r\nSelf dependant/free to speak up\r\nHaving a great future and a brighter tomorrow to come right to free life also movement.
5602,"Elimination of the list of prohibited professions, safe abortions, more research in the field of women'`s reproductive health, affordable hygiene products, etc..."
5603,
5604,Bad
5605,
5606,
5607,
5608,
5609,
5610,"Respect in all spheres - political, social and cultural. "
5611,"Reducing the level of domestic violence and adopting appropriate laws, attaching sexism and harassment to administrative offenses, an equal number of men and women in parliament, introducing sex education in schools, legalizing same-sex marriage"
5612,"People perceive each other not as gender, skin color, nationality, but as a person with the same thoughts of emotions as yours. Society will be equal, that is, people will negotiate, people will learn to hear each other. To do this, we need psychologists in schools / gardens from an early age, where they will immediately instill morality in everyone, because we are all the same people. Both sides want peace. You are not born Armenian/gay/blonde, but a human being"
5613,
5614,
5615,Very slow. 
5616,"There is no list of professions forbidden for women, women occupy posts on an equal basis with men, work on an equal basis with men, receive equal deserved wounds, men can take maternity leave, women are not insulted for her appearance, weight, behavior, do not condemn them for ""accessibility"". In the southern regions of Russia: freedom of choice of love, groom, place of residence"
5617,I believe that society is modernizing and women will have more rights.
5618,
5619,Progress will be made if matriarchy is established in developed countries.
5620,
5621,"Russia will adopt a law on the prevention of domestic violence, support for victims of violence, more women will occupy leadership positions, there will be no difference between the salaries of female and male employees"
5622,
5623,
5624,
5625,
5626,The absence of misogynynie in the mind of a woman.\r\nAbility to receive protection from the state.
5627,"In most developed countries, we will reach an understanding that this is necessary. In the most developed countries, we will come to almost complete equality in all socio-cultural aspects."
5628,
5629,
5630,
5631,"equal salaries for women and men, protection of women'`s reproductive rights, rape implies criminal liability, there is no concept of ""exceeding self-defense"", changing attitudes towards domestic violence both in the minds of people and in legislation"
5632,"Equality of rights and freedoms, more women employed in politics and in high positions in companies"
5633,
5634,
5635,The right to choose for yourself the image of social and family command without regard to world standards.
5636,
5637,Perhaps finally disappearing stereotypes that an individual who did not produce a child is not a woman. More respectful. 
5638,
5639,They will be able to safely arrange for any job and there will be less violence. 
5640,
5641,
5642,
5643,
5644,
5645,
5646,"global sisterhood, the eradication of misogyny, the law on domestic violence and centers for victims of it"
5647,
5648,
5649,
5650,"Absence of professions prohibited for women, equal treatment of boys and girls, prohibition of domestic violence"
5651,"no harassment, equality in all aspects of life, no stigma and stereotypes "
5652,
5653,
5654,
5655,
5656,Nohow
5657,"Education in the field of women'`s health, the absence of taboos on the health of the reproductive system, the cessation of excessive sexualization and objectification of women, the availability of education and the right to vote (not only selective, but in general), in all countries of the world, a complete ban on forced marriages of minors and female circumcision"
5658,
5659,
5660,"Reduction of the level of any violence, expansion of rights and freedoms, social equality "
5661,
5662,"Women in leadership positions. The policy consists of 50% women, there is no pressure about the birth and / or birth of children, safety from domestic infusions and harassment by strangers "
5663,
5664,
5665,"Abolition of the list of prohibited professions\r\nEasy access to contraception, as well as safe and free abortion\r\nUnation of the law on domestic violence and protection orders\r\nDestruction of rape culture\r\nPayments for children absolutely everyone without any certificates, in the amount of the average salary\r\nThe absence of sexism in the media\r\nState support for funds that help victims of violence\r\n Obligatory joint decree and encouragement of men'`s care leave\r\nLiving of debt on al names - payment of alimony from the budget, recovery from debtors by federal services\r\nLeigalization of obstetric care at home\r\nTransition to the obstetric model of pregnancy and childbirth\r\nDestigmatization of female physiology"
5666,"Women will freely dispose of their bodies and all issues related to a woman'`s health and the birth of children will be her choice.\r\nI would like a woman to become the president of the country.\r\nGender stereotypes should become a thing of the past. No more division into ""female"" and ""male"" duties. \r\nI really want women to feel safe in 10 years. For rapists, murderers and tyrants to go to jail. So that justice is on the side of the victim."
5667,
5668,
5669,"Changing legislation to protect against violence, equal pay. Social assistance in difficult situations. "
5670,
5671,
5672,"Breaking stereotypes, freedom from prejudice"
5673,
5674,
5675,"Free choice among the rights of the reproductive system, the absence of pressure from the state and society, more chances to get the desired position with the necessary skills, the absence of taboos on the topics of orientations "
5676,
5677,
5678,
5679,
5680,
5681,
5682,
5683,Dim
5684,
5685,
5686,
5687,
5688,"Cases of rape, harassment, etc. will be more thoroughly considered and perpetrators will receive due punishment. "
5689,"Women will be able to marry women, sign a law on domestic violence "
5690,
5691,
5692,
5693,
5694,
5695,"Freedom to dispose of one'`s body (the right to abortion is exercised without obstacles, sexuality is not taboo).\r\nThe largest number of women in decision-making positions, in politics, in various fields. \r\nDives receive assistance and support from state bodies in cases of violence and abuse"
5696,
5697,"Relationships in the business world on equal terms for both women and men. Freedom of speech, action, lack of physical violence. "
5698,
5699,I hope that people will stop perceiving women as incubators. and women will be treated humanely. 
5700,Non existing  due to lack of knowledge and ignorance 
5701,Freedom from torture \r\nSexualy abuse/drugs\r\nFree famous woman\r\nEducated and whealty 
5702,"Women will be in political positions more often, the humiliation of women for normal physiological processes (menstruation, the presence of a hymen, etc.) will go away, rape will cause in society the same vivid reaction as pedophilia and other serious immoral attempts on a person."
5703,
5704,
5705,Very well
5706,
5707,
5708,"Women should be given more positions at the top in political circles especially in developing Nations also,as women will have the full exercise of their rights when we stand together as a unified voice against all odds. "
5709,"Equal pay, the lack of any restrictions that are based on gender. "
5710,"A woman is not equal to a mother, a wife. A woman is a person who is free, not condemned for every step and objectification."
5711,
5712,
5713,
5714,Domestic Violence Act 
5715,
5716,
5717,
5718,
5719,
5720,
5721,
5722,
5723,
5724,
5725,
5726,
5727,
5728,The woman of the future is a person whose rights are not infringed upon.
5729,Non-discrimination and reprehensible attitude
5730,"Women will be free to make decisions about their bodies, professions and futures without being mocked and/or mocked by society. "
5731,I believe it will look much better because of many imagining organisation supporting rights of a woman. \r\nWomen will lead more and have a voice in our society 
5732,"Equal pay, equal right to work, right to abortion, domestic violence law"
5733,
5734,
5735,Bessonyatiya.
5736,
5737,
5738,That equality if all genders is reaffirmed and that positive action to alleviate racial tensions is financially supported by government bodies 
5739,
5740,
5741,
5742,
5743,
5744,There will be no progress for 10 years under the current policy is nothing. 
5745,
5746,
5747,
5748,
5749,"Domestic violence and gender-based violence are criminalized and systems for prevention and assistance exist, women have significant positions in the state apparatus, there is sexual and mental education in schools, salaries of typically ""female"" professions - teacher, doctor, educator, etc. are greatly increased, accessibility of the environment for people with limited mobility and people with disabilities is developed and introduced, LGBTQ+ people have all the rights"
5750,
5751,"Really equal rights. No infringements at work, school and in society. Assistance to women in crisis situations at the legislative level, freedom of choice of professions."
5752,
5753,
5754,
5755,"Ideally, complete freedom of choice and equality, although legally women are largely equal (not in everything), the socio-cultural level in the country and the region in relation to us leaves much to be desired, in the state apparatus there is misogynia, sexism emanating from women themselves. Feminism is not recognized by many women who are in the national assembly and the leading political party at all levels."
5756,"Absence of sexism, absence of domestic violence"
5757,I hope as well as nature.
5758,
5759,I hope for equal rights for all people regardless of gender and gender. There is a lack of empathy in people. 
5760,
5761,"The number of women in decision-making positions and technical/engineering specialties will increase significantly, the list of professions prohibited for women will be abolished, the number of domestic violence outside the statistical error has decreased, information resources engaged in data flow are immediately blocked. "
5762,"Lifting all abortion bans worldwide, accessible education for women in poor countries, criminal punishment for violence, lifting work bans"
5763,
5764,
5765,"All people are equal to each other, there are no conflicts against the background of gender, equal rights for LGBTQ+ people."
5766,
5767,
5768,Absence of at least 90% of sexist phrases that you hear/see on a daily basis 
5769,
5770,
5771,
5772,There is no reproductive pressure at all. Equal pay. Access to any kind of activity. Lack of sexual objectification in the media. Respect for women
5773,
5774,
5775,
5776,"Respect and acceptance by society of life goals, positions, directions and desires of women regarding their profession, their body and lifestyle."
5777,"Equal pay, rape investigations, reproductive freedom"
5778,
5779,
5780,
5781,"in ancient Rome, women did not have personal names, the female name was the form of the generic name, that is, as if indicating to which man the woman belonged. now every woman has her own name. maybe one day women will have rights that no one encroaches on? I don'`t think that in 10 years in Russia anything will change for the better. but maybe in 300 years my female descendants won'`t try to rape every man they'`ve been alone with, as has happened to me for 22 years. maybe they won'`t be afraid of men like I am. maybe it'`s men who will be afraid to hurt women? because this will be followed by severe punishment from the authorities, who will side with the victim, and not drive her even more. maybe in 300 years, maybe never "
5782,
5783,
5784,
5785,
5786,Positive
5787,
5788,
5789,"Unfortunately, I think that progress will not be so large-scale, but the main thing is that it will be. Every year, this problem affects more and more people'`s attention. I am sure that in the end there will come a really much safe and just world.\r\n"
5790,With d help of human rights d rate of crimes will reduce because dey are fighting for d right of individual
5791,
5792,"Complete freedom of speech, non-stereotypical thinking towards women and expansion of the list of professions for free choice "
5793,
5794,"By God’s grace, everything is going to end up positively fine."
5795,
5796,
5797,"A woman has equal rights with a man. A woman is not afraid to go out for a walk in a beautiful dress, not afraid that she will whistle in the wake or try to touch. A woman can get any job she is interested in. "
5798,
5799,"Freedom of abortion, equal pay, inclusiveness of culture, fair trial of rapists"
5800,
5801,
5802,
5803,
5804,"I hope that in 10 years women and men will receive equal wages in the same positions, such a concept as harassment will be eradicated, misogynia will disappear forbidden for women professions. "
5805,Their is hope but still alot needs to be done.especially in under developed countries.
5806,
5807,"I hope for normal government policy, normal laws in my country for protecting women'`s rights. "
5808,
5809,
5810,
5811,
5812,
5813,
5814,
5815,
5816,
5817,"Reproductive freedom, equal salary with men, cessation of rape and harassment"
5818,I hope that oppression will cease to exist
5819,
5820,
5821,
5822,"The opportunity to work in ""male"" professions, and get more jobs"
5823,
5824,There will be more progress 
5825,Just
5826,"Elimination of violence and rape, insults and attitudes as ""meat"", the absence of stereotypes such as ""place at the stove"""
5827,"Legal abortion at the request of a woman, a safe environment in the ""male spheres"", laws on harassment, laws on domestic violence, protection orders"
5828,It does not look good even in the next 20 years due to the current situation
5829,
5830,
5831,
5832,Women'`s Empowerment in Predominantly Islamic Regions/Countries
5833,
5834,
5835,
5836,The wage gap between men and women will be reduced \r\nA law on domestic violence will be adopted 
5837,When every woman understands her value as a person and a person
5838,
5839,
5840,"I don'`t know, I'`ll be die by then."
5841,"Women are not being dehumanised by using alternatives words eg breast feeding = chest feeding or breast milk = human milk Horrified that some transgender women want to be included in women’s reproductive process/story when they do not have the biological capacity to do so as a women. Minority group who want to change what women do and how they are described. Less violence in its many forms towards girls and women. A safer contraception for women who’ve been on the pill since their teenage years as they approach their 50s. Equal wages. Acknowledgement that women are smart, can be world leaders, company directors and run businesses as the norm. Acceptance of driven, knowledgeable and dynamic women instead of being overwhelmed and scared of them. Equality for indigenous women. "
5842,"Understanding the position of ""woman"" not as a thing accompanying male greatness and stigmatized under the continuation of the human race, but as a full-fledged part of society, at any time able to rely on the help of the state. "
5843,
5844,"It seems to me that those stereotypes and stigmas that have developed over such a significant period of primacy of the patriarchal system will not disappear in 10 years. But surely by this time women will occupy many times more leadership and successful positions, weeks now. Equality is achievable. We will fight for him. I hope that in 10 years the law on domestic violence will be successfully enforced in Russia. "
5845,"Much less violence in their direction, the implementation of the law on domestic violence, the elimination of stereotypes about the ""woman mistress"", ""the woman keeper of the hearth"""
5846,"Absence of sexism and gender stereotypes, respect for the individual regardless of gender, gender, nationality, race and religion "
5847,"Reduction of domestic violence and violence against women in any form by at least 60%, trans-inclusiveness of the word ""woman"", equal labor rights, representation in politics, economy, culture, quite comparable to the representation of men in the same fields*"
5848,
5849,
5850,Not too sure 
5851,I don'`t think we'`re going to move much. progress will not be great
5852,Refusal to ban abortion. Creation of more organizations to protect women from violence. Increase in benefits for single mothers. The possibility of adopting LGBTITIC children in couples. Legalizing LGBTITIC marriages. Introduction of plastic surgery into the compulsory medical insurance. Wage equalization. 
5853,
5854,ten having
5855,
5856,
5857,
5858,
5859,
5860,You cannot change gender just because your mental issue makes you wish you were some thing else. Like wishing you were a unicorn
5861,Nohow
5862,
5863,
5864,"Any violence will be criminally prosecuted, the oppression of LGBT communities will disappear"
5865,
5866,"Perhaps much worse, perhaps much better. Everything is in the hands of the struggling."
5867,
5868,
5869,
5870,"Economic equality among the sexes is equal pay.\r\nSwedical model of criminalization of prostitution.\r\nAccept to an equal number of senior positions held by women.\r\nExubmission of prohibited professional professions.\r\nMore women politicians.\r\nDelement of the number of beggars among women.\r\nThe adoption of the law on domestic violence in Russia.\r\nThe emergence of discrimination in employment based on the reproductive function of women.\r\nInfoliation of honor killings in the Caucasus,  and circumcision of girls and child marriage."
5871,Not good
5872,
5873,
5874,"In general, this will develop in a positive way, but of course it is difficult to say about any specific states.  Women'`s rights are particularly disadvantaged in Muslim countries"
5875,"Women are paid on an equal footing with men. Also, the laws are made so that women can get help and protection if necessary. "
5876,
5877,
5878,
5879,"Equal advantages in employment of women and men, acceptance of applications about threats to life and health without telex evidence of this violence"
5880,Improving
5881,
5882,I don'`t see any problems with women'`s rights. 
5883,
5884,"no way, women have enough of them"
5885,
5886,Casual sexist behaviour is called out by other men in the community as well as politicians and media representatives.  Domestic violence victims are supported and believed.
5887,Better
5888,
5889,"No harassment, no abuse, no objectivation. No stereotypes about feminine behavior. "
5890,"Equal pay, full protection in case of committing any violent acts."
5891,
5892,
5893,Woman having freedom to own property and participating in politics
5894,We will have great society where everyone has equal rights
5895,
5896,"Freedom of choice, absence of harassment and violence, equal rights and wages"
5897,
5898,
5899,
5900,"Taking domestic violence seriously.\r\nNo and more responsibility of women, many of them still take advantage of the fact that they are the ""weaker"" sex and survive by parasitism, forcing everything to decide for them."
5901,
5902,
5903,"Overkill in developed countries, infringement of men'`s rights. In undeveloped countries, men will still have more rights "
5904,
5905,"Women will no longer have to fear being abused by their partners, family etc and the fear of being reped, no gender based roles, equal opportunities offered to men, same as women."
5906,"Equal conditions for hiring, promotion. No talk about the prohibition of abortion at the state level will not be discussed. Quotas for seats in elected authorities are at least 40 per cent women."
5907,
5908,
5909,"Economic freedom, reproductive freedom, decent health care, defeated corruption, fair courts, reasonable taxes, universal equality before the law, the adopted law on domestic violence, a developed network of assistance to victims of violence, centers for working with abusers, more complete integration of people with disabilities into society, responsibility in the consumption of resources, an environmentally friendly approach to the life of a big city"
5910,"Any action or decision made by any woman is perceived in the same way as a man'`s. Women have wide access to any type of global resources.\r\nGender is abolished, there'`s only biological sex concept."
5911,
5912,
5913,
5914,Gender equity
5915,
5916,
5917,I believe that It will progress.
5918,
5919,
5920,"Very simple - firstly, in the management staff of the state apparatus and all large firms and funds will be up to 50% of women"
5921,"The same salaries and opportunities, equal rights and the absence of oppression over women."
5922,No one climbs to women and does not try to control biological characteristics by laws. Rapists are imprisoned for 20 years at least. 
5923,
5924,
5925,"All plate, glory to the patriarchy"
