iso3166,gender,race,age,language,progress_10_years_tr
US,woman,racial_identity_not_listed,35 to 44,en,"For all women, all women "
US,woman,white,35 to 44,en,"Education when it comes to abuse. Abuse is a cultural issue and the only way we will get rid of it is through public service announcements,  education, training. Changing hearts and minds and empowering women to know that abuse is not normal or ok. Raising up strong respectful sons who are taught right from wrong. This cannot be forced. Education is power. "
US,gender_choose_not_to_identify,choose_not_to_identify,45 to 54,,
US,woman,racial_identity_not_listed,35 to 44,en,"Respect for women'`s choice to work or to stay home and raise children; to stay single or to marry, to be respected for choosing traditional values"
US,,,,,
US,,,,,
DE,woman,white,25 to 34,en,a respectful global living without the need of talking about equality or minorities as the difference and variety of people is accepted as natural 
US,,,,,
US,woman,white,55 to 64,en,Not good because of insurance regulations that take away a woman'`s power to choose the type of birth she wants.
FI,woman,white,35 to 44,,
US,,,,,
PL,,,,,
CH,,,,,
US,cisgender_man+man,asian+biracial_or_mixed+white,35 to 44,,
US,woman,white,35 to 44,en,"Environmental justice, reproductive freedom, and racial equity"
CA,,,,,
US,,,,,
CA,woman,asian,25 to 34,en,"Not having to pay extra tax for female hygiene products, having equal pay regardless of industry "
US,,,,,
US,cisgender_woman,white,25 to 34,en,"Single payer healthcare/Medicare for All, including coverage for reproductive health; diverse female representation in all levels of government (federal, state, and local); required parental leave; free college tuition"
US,woman,white,25 to 34,en,Every woman has the opportunity to live joyfully and independently without relying on others for money or resources. 
US,woman,hispanic_or_latinx,45 to 54,en,"No more segregation, all are equal."
NL,,,,,
US,woman,white,25 to 34,,
US,woman,hispanic_or_latinx+white,25 to 34,,
US,woman,choose_not_to_identify,65 to 74,en,"I'`d like to see EQUAL rights for ALL.  I'`m not a fan of ""group specific"" rights. I feel putting some groups above others, even if they were oppressed in the past, is not helpful."
CA,woman,white,18 to 24,en,"Representation of women in senior roles in politics, finance and tech. Legislation that protects women'`s bodily autonomy, including easy access to abortion and contraception. "
US,,,,,
US,woman,white,35 to 44,,
CA,,,,,
CA,woman,white,25 to 34,en,Equal access to healthcare and medicine without discrimination
US,woman,white,25 to 34,en,
US,woman,white,25 to 34,en,
US,woman,asian+south_asian,25 to 34,en,A more inclusive place for everyone
US,man,white,25 to 34,en,Equal pay for same work/position; participation at executive/board level within companies
US,,,,,
US,woman,asian,35 to 44,en,"little to none ""me too"" type incidents\r\nno threat to a women'`s right to choose"
US,woman,white,35 to 44,en,"Ending the pay gap for all women. Free childcare for all women. Access to safe, legal abortions for all women. No statute of limitation for rape victims. "
US,woman,black_or_of_african_descent,25 to 34,en,"Addressing intersectional experiences of women in housing,  professional, wellness, educational, and political sectors by way of protective and broadly inclusive policies as well as widening of secured opportunities in fields with disparities."
US,,,,,
US,woman,south_asian,45 to 54,en,Women are treated with respect and as equals at home and work. A safe society. Education is accessible to all. More women leaders across the globe.
US,cisgender_woman+woman,white,25 to 34,en,"Equality under the law, bodily autonomy and a right to choose how to use your own body (and not be forced to carry a child to term if you don'`t choose to). Equal representation in government. Increased support for childcare/maintaining a home while working full time so women aren'`t forced to do an unequal amount of labor in addition to their full time job. Systems designed to allow women to pursue justice easily and effectively when they are abused, raped, or worse. "
US,cisgender_woman+woman,white,25 to 34,en,"Women with full freedom to determine what they need for their bodies, incredible access to healthcare by physicians that look like them (more racially diverse teams of doctors to ensure every woman is being heard.) \r\n\r\nPay equity, strong punishments (and zero tolerance) for abuse of any kind, in the workplace or at home. "
US,woman,biracial_or_mixed+hispanic_or_latinx+white,25 to 34,en,"Pregnancy, child birth and family concerns not be a limitation for working women to advance in their career, apply for better jobs, or ever be a reason a woman loses her job. Also, significant reduction in domestic violence, immigrant health equity increasing. "
US,woman,white,35 to 44,en,"equal pay, equal rights, less discrimination"
US,,,,,
US,woman,black_or_of_african_descent,55 to 64,en,
US,cisgender_woman+woman,white,18 to 24,,
US,,,,,
US,woman,biracial_or_mixed,45 to 54,en,"Hopefully better than the last 47 years, where half of the 62.5M aborted fetuses were female and denied the right to life."
US,woman,choose_not_to_identify,65 to 74,en,"The same as we have for many years....... what I do not want to see happen is transgenders in females sports, nor do I believe in abortions or paying for others abortions.\r\n"
US,cisgender_woman,asian+biracial_or_mixed+black_or_of_african_descent+pacific_islander,25 to 34,en,Equity in society
CA,,,,,
US,woman,white,55 to 64,en,Increased participation and representation in governments.  
US,woman,white,55 to 64,en,great just as it is today IF the Biden?camel toe Harris would leave things alone
US,,,,,
US,woman,white,75 or older,en,"Hopefully better than the past ten years. I feel women are becoming more empowered, so fighting for their rights will be a major concern."
DE,woman,white,18 to 24,en,"100% equal rights for woman, the same rights which exists for mans in every way and every Point of view"
CH,non_conforming_or_non_binary,white,35 to 44,en,"Solidarity with all genders, races and preferences."
US,,,,,
US,,,,,
CA,,,,,
US,,,,,
US,,,,,
US,woman,white,45 to 54,en,"In 10 years, I would hope that we are being paid a more fair wage. I would hope that we have the right to make our decisions about our bodies and that we have an even stronger voice. "
US,cisgender_woman,hispanic_or_latinx,45 to 54,en,"Complete autonomy of our own bodies.  Equality and inclusion in the work place and society regardless of gender,  race, religion, sexuality or disability.  Protection for women and health and mental care for everyone."
US,,,,,
US,woman,choose_not_to_identify,65 to 74,en,Equal pay for equal work. 
US,cisgender_woman+woman,white,25 to 34,en,Abortion will be legalized across the nation as well as women have guaranteed insurance coverage for reproductive health related items. Breaking the economic glass ceiling for women - we will see more female leaders in professional fields. 
MX,,,,,
US,woman,white,35 to 44,en,
US,woman,white,35 to 44,en,I hope progress will continue so that women can be equal with men.
US,,,,,
CA,woman,white,18 to 24,en,Equal workforce participation and autonomy of women'`s bodies
US,woman,biracial_or_mixed,65 to 74,en,"All people need to be free to realize their dreams. No amount of legislation, preference for one group or another, forcing guilt upon others will help. Only enforcement of present laws and respect for one another, no matter your sex, I’d going to allow to live their lives well.  "
US,,,,,
US,woman,biracial_or_mixed,65 to 74,en,"When we recognize all as equal and don'`t call sfor special rights, use quotas and make giant announcements about the '`first woman ever to...'`  "
US,,,,,
US,woman,white,65 to 74,en,"equal pay\r\nfull access to all types of health care, reproductive and mental\r\nfull voter participation"
US,,,,,
US,,,,,
US,cisgender_woman,biracial_or_mixed,25 to 34,en,
US,,,,,
US,cisgender_woman+woman,white,75 or older,en,"Women would be looked upon as Humans equal to men and just as human not as :women"""
US,woman,white,45 to 54,en,Progress would be more women taking responsibility for their own actions
US,,,,,
US,,,,en,
US,,,,,
ZW,woman,black_or_of_african_descent,18 to 24,en,Really great and overwhelming 
ZW,,,,en,
CA,,,,,
ZW,woman,black_or_of_african_descent,25 to 34,en,Women being able to express themselves and be allowed to participate in future decisions making plans. 
ZW,,,,en,
ZW,woman,black_or_of_african_descent,25 to 34,en,"Women and the work they do should be respected in society. Women should have autonomy over their bodies and sexualities. Women in all areas should have economic and social independence. Women should occupy positions of leadership in powerful companies and in government and should be respected in those positions. I expect more women to not be restricted by societal gender roles and break into powerful fields and industries and have successful careers. I also hope that laws and legislation are revised to fully protect women from sexual harrassment in all areas of life, in homes, work place or streets. There is also need to develop effective agencies or organisations that fully support women who are victims of GBV and rape. Then there is also need for women to see their perpetrators being fully held accountable and punished by the law. Ultimately there is should be advancement in the independence of women socially, politically, financially, economically and education-wise and also protection for them against rapists, rape apologists and sexual harassers within our society."
ZA,,,,,
ZW,woman,black_or_of_african_descent,35 to 44,en,50/50 representation in both Parliament and in Corporate leadership(Board) 
US,woman,native_american,55 to 64,en,The elimination of men
RO,woman,white,25 to 34,en,"A more egalitarian future where women and girls are free to safely and freely pursue their dreams, without facing violence, oppression or condemnation."
ZW,woman,black_or_of_african_descent,18 to 24,en,"Equal opportunities in workplaces and politics,\r\nDecrease in the abuse statistics, less marginalisation of women\r\n"
ZW,,,,en,
ZW,woman,black_or_of_african_descent,25 to 34,en,Shift to allow women to be viewed as equals being the not a radical notion. An end to gender roles. Safety for women in all areas of life so I dont have to teach my daughter how to navigate sexual harassment or avoid being raped
US,,,,,
ZW,,,,,
US,woman,racial_identity_not_listed,55 to 64,en,"More representation in local, state and national office.  Economic equality. Medical equality in treatment and research. Protection from harassment, abuse, violence."
GH,man,black_or_of_african_descent,18 to 24,en,A huge leap for humankind
ZW,woman,black_or_of_african_descent,18 to 24,,
DE,,,,,
NG,cisgender_woman+woman,black_or_of_african_descent,25 to 34,en,Significant increase in number of women in elected and appointed political positions across the world and their active participation in decision-making processes 
CH,,,,,
ZW,,,,,
GH,non_conforming_or_non_binary,black_or_of_african_descent,25 to 34,,
UK,,,,,
AT,cisgender_woman+woman,white,25 to 34,de,"It would be desirable that women have the same chance of education, because education is practically the key to EVERYTHING!"
IN,woman,south_asian,35 to 44,en,Women are not considered as a protected sex. Have equal pay and opportunities 
ZM,,,,,
ZW,woman,black_or_of_african_descent,35 to 44,en,Participation of women in politics without any victimisation.\r\n\r\n
DE,woman,white,25 to 34,en,"Equality to men in all matters: pay, respect, possibilities "
ZW,,,,en,
CH,,,,en,Lohngleichheit. 
ZW,woman,black_or_of_african_descent,25 to 34,en,"Having women heading up companies, or running for political office fearlessly and without being discriminated against. Having women being allowed to speak their minds without society shutting them out i.e. men and their fellow women. "
DE,woman,white,25 to 34,de,"Women all over the world can freely decide about their lives and their bodies, rape and harassment are punished appropriately, in professional life disadvantages are compensated, for example, by double burden (family, professional activity) or complaints such as PMS, women are taken seriously as well as men and do not have to ""fight for it"", ""girls"" are no longer an insult (""Don'`t be such a girl"",  ""don'`t cry like a girl"", ""throw like a girl"")"
US,woman,white,35 to 44,en,Progress in women’s rights would be to stop being ball breaking bitches. It really is okay to let somebody do something for us sometimes 
ZW,woman,black_or_of_african_descent,25 to 34,en,Equal opportunities 
US,,,,,
AT,woman,white,25 to 34,en,"Closing the gender pay gap, getting rid of gender stereotypes, ending violence against women "
US,,,,,
US,,,,,
AT,woman,white,25 to 34,en,"pay-equality; acknowledging unpaid work, acknowledging jobs that are critical to society and mostly done by women; women leading countries; women being employers; less sexual harrassments"
BR,woman,biracial_or_mixed,35 to 44,pt,I hope you'`re more balanced.
US,,,,,
US,woman,native_american,55 to 64,en,
US,,,,,
ZW,woman,black_or_of_african_descent,25 to 34,en,It being a norm to have a woman in a leadership position. 
US,,,,,
US,,,,,
US,,,,,
US,cisgender_woman+woman,white,35 to 44,en,The end of political abortion debate. Closing the wage gap. The end of the stigmatization of being female. 
US,woman,white,45 to 54,en,Women’s rights are not in any tied to abortion access. We need to recognize and believe in science. Abortion kills women.
CH,woman,white,35 to 44,en,not loosing a job - because you became a mother\r\nin the whole economy (all work hours) the salaries for women and man should be equal- means classical women jobs get paid a lot more!!!
ZW,woman,black_or_of_african_descent,25 to 34,en,To have less cases of sexual abuse. Husbands and Boyfriend should be well aware of the meaning of consent in 10 years. Women can also hold powerful positions in politics and that stigma that ladies can not rule a country as its president should have been dealt with by then.
US,woman,hispanic_or_latinx+white,45 to 54,en,Equal pay for equal work with full access to medical care for all. 
ZW,,,,,
US,,,,en,
US,woman,black_or_of_african_descent+hispanic_or_latinx,25 to 34,en,"A woman has a right to choose. She can choose to be abstinent, she can choose birth control, she can choose adoption, she can choose to be a mother and raise her child.  However, she does not have the right to choose to murder her unborn child. Once she conceives a child their right to life supersedes her wishes!"
US,,,,en,
ZW,woman,black_or_of_african_descent,18 to 24,en,It'`s attainable if we adopt 
UK,woman,white,25 to 34,,
US,woman,white,65 to 74,en,Women have the right to toilet without men. Play sports with other women. Go to school around the world and have the right to work in any field they are capable of. No honor killings. Sexual asssault is rare and punished harshly. Assault in a relationship is assault and treated as such. It is not acceptable anywhere in the world. Abortion is rare but legal and not because you are a girl.\r\n
US,,,,,
US,,,,,
US,gender_not_listed+cisgender_woman,white,55 to 64,en,Wearable tech that proves a woman has been raped. Blood work that shoes coerced enzymes.
US,,,,,
US,,,,,
DE,woman,white,45 to 54,de,"Equal rights for women all over the world in terms of education, profession, income. Own decision about marriage, profession, reproduction."
US,,,,,
US,,,,,
US,woman,white,45 to 54,en,Constitutional carry
US,woman,white,65 to 74,en,Looking better than last 10 years.
US,woman,racial_identity_not_listed,55 to 64,en,"Silly. They cry about women rights then push for eliminating gender identifying pronouns, what hypocrisy. Women and men are different and there'`s nothing wrong with embracing your natural femininity."
BR,cisgender_woman+woman,hispanic_or_latinx+white,25 to 34,,
BR,woman,racial_identity_not_listed,35 to 44,pt,I believe we'`ve conquered more power spaces.
US,woman,choose_not_to_identify,45 to 54,en,"Good with economic opportunities that  free and democratic societies provide,including free speech and freedom from religious extremism and forced abortion and sterilization. "
US,woman,white,25 to 34,en,"In 10 years, if companies no longer share out progress of achieving 50% women in leadership roles because it’s become the norm to have equality in those roles—that would be progress!"
US,,,,,
US,,,,,
ZW,woman,black_or_of_african_descent,25 to 34,en,Progressive 
NL,woman,white,55 to 64,en,"Euqal pay, more women in politics and in high functions. "
US,cisgender_woman,white,25 to 34,,
US,,,,,
US,,,,en,
US,,,,,
US,,,,,
US,woman,white,75 or older,,
ZW,woman,black_or_of_african_descent,18 to 24,en,"I dream of having women take up leadership positions in political, economic, and social sectors. Women'`s views should be respected and acted upon. We are tired of raising our voices but not having any one take action towards our cries. If fellow women get into leadership spaces, they'`ll be able to voice out other women'`s concerns too. "
BR,cisgender_woman+woman,white,35 to 44,pt,"Greater respect for the role of women in society, valuing women'`s work and more women holding positions of command "
US,,,,,
US,,,,,
US,gender_choose_not_to_identify,biracial_or_mixed+hispanic_or_latinx+native_american,55 to 64,en,More needs to be done in regards to abuse.
CA,,,,,
BR,woman,white,18 to 24,pt,We still can'`t go out at night without being afraid something bad might happen 
US,,,,,
BR,cisgender_man+woman,hispanic_or_latinx,25 to 34,pt,"I hope we are on a totally different level, with more representation, reserved rights, autonomy and respect. In addition to having more opportunities and fair wage matching, with more effective justice measures and weighted deaths from feminicide.9"
BR,woman,biracial_or_mixed,25 to 34,pt,"Better, but still with a lot to go on."
US,,,,en,
US,woman,biracial_or_mixed,55 to 64,en,Whatever
US,woman,white,35 to 44,en,"Women should take pride in the qualities that are naturally feminine such as the ability to birth, nourish, and nurture children.  These qualities should also be revered by society."
US,,,,,
US,woman,white,65 to 74,en,Equal pay for equal work
US,,,,,
US,,,,,
DE,cisgender_woman+woman,white,25 to 34,en,"Everybody understood that quotas for women in the work context are a useful instrument. Equality for women in context of family care work and paid professionaly work is the norm in families and supported by political measures like equal parental leave pay. Prejudice about how women and men have to be, became overall less and more people are standing up against comments about it in public and in private."
BR,woman,black_or_of_african_descent,35 to 44,pt,"This depends heavily on socio-economic, educational and political issues. It is difficult to talk about this since in my country the macho and patriarchal traits prevail and the lack of politics for this purpose is very remote."
DE,cisgender_woman+woman,white,25 to 34,de,"The current circumstances are very different, therefore difficult to speak in an answer for the whole world.\r\n\r\n- no more forced sterilizations & circumcisions \r\n- Abortion rights \r\n- Rape is considered a crime everywhere \r\n- Self-determination in all areas: sexuality, work, etc."
ZW,,,,,
US,woman,white,55 to 64,en,"Women will make better choices for themselves by waiting to have sex, getting good educations and job training, and choosing responsible, dedicated husbands.  Governments will provide opportunities for, and not purposely hinder the ability of, women to make good decisions for themselves.  Governments and private entities will empower women to both carry their pregnancies to term and succeed in life by enabling education and job training opportunities, affordable child care, and providing aid during economic slumps."
US,,,,,
ES,,,,,
ES,,,,,
AF,,,,,
ES,cisgender_woman+woman,white,18 to 24,es,"I hope that my worth will be considered on the same level as that of men, that I am not judged by my gender but by my objective abilities. "
VA,cisgender_woman,white,18 to 24,de,
JP,,,,,
US,woman,white,65 to 74,en,"Equal pay, Great Healthcare, Right to choose"
MY,,,,,
US,,,,,
CA,woman,white,55 to 64,en,Equality across the board and freedom to make our own choices for our reproductive rights
US,,,,,
FR,cisgender_woman,black_or_of_african_descent,35 to 44,en,"Women will be earning a decent wage, care work will be shared, women will be free from economic, social and cultural violence, have free ownership over their bodies, climate change will be beginning to reverse, women will have equal property ownership as men, work considered to be ""feminine"" will be compensated as well as stereotypically male work,  women will no longer be pushed out of predominantly male careers"
US,,,,,
US,,,,,
US,woman,white,35 to 44,en,Equal opportunity only never should you judge anyone based on sex color or gender  
US,woman,choose_not_to_identify,65 to 74,en,freedom to be who I chose to be not what a feminist tells me I should be and ridicule me for it
ES,woman,white,35 to 44,,
CH,,,,,
NG,woman,black_or_of_african_descent,35 to 44,en,Having access to girl child education and reproductive health
US,gender_choose_not_to_identify,native_american+white,25 to 34,en,"A woman should not have her ability to compete in sports or the job market undercut by biological men identifying as women.  A woman should be able to embrace and celebrate her unique, creator given feminine features and be taken seriously in the work force. "
US,woman,white,65 to 74,en,Equal pay and opportunity
UK,gender_choose_not_to_identify,choose_not_to_identify,75 or older,en,Getting transgenders out of women'`s sports.  I can'`t believe that feminist do not talk about this! 
AF,gender_choose_not_to_identify,choose_not_to_identify,18 to 24,en,kindness
US,,,,,
JP,gender_choose_not_to_identify,asian,25 to 34,,
US,woman,biracial_or_mixed,65 to 74,en,"Having the same rights as men and other groups to sports, voting, freedom of speech, freedom of choice."
US,woman,white,45 to 54,en,Terrible. Stop pushing biological males to be equal to women especially in sports and the use of women’s bathrooms by biological males. This is unfair to women and I don’t want this for my daughters. 
US,,,,,
JP,woman,asian,18 to 24,en,More people in the world would be aware of the equality between all gender. I hope the number of women who know the situation needs to be changed will arise a lot in 10 years
US,cisgender_woman+woman,white,18 to 24,en,"No toxic masculinity, women being seen as human and treated as human. "
US,woman,choose_not_to_identify,45 to 54,en,Get transgenders biological males out of female sports. 
US,gender_choose_not_to_identify,biracial_or_mixed,55 to 64,en,"Women take back the necessary language to define their biological reality and demand their sex based rights and stop pretending that men can ""identify as"" women. \r\n"
US,,,,,
US,woman,white,55 to 64,en,"Stopping the transgenderists from taking over women'`s spaces. Fighting male violence, especially pornography and prostitution."
US,woman,white,55 to 64,en,Bleak
US,woman,white,75 or older,en,"90 % of girls complete the equivalent of US High School. No child marriages. And, women have the freedom to choose to work or not."
UK,woman,black_or_of_african_descent,45 to 54,en,Long 
ZW,woman,black_or_of_african_descent,25 to 34,en,"It'`s still a challenge as cultural barriers , still exist to recognise women rights coupled by poor monitoring mechanisms to ensure international instruments on women'`s rights are domesticated and implemented"
US,,,,,
UK,woman,white,35 to 44,en,All women  and girls having access to education\r\nAll women and girls having control over their own bodies and reproductive rights generally
ZW,,,,en,
ZW,woman,racial_identity_not_listed,25 to 34,en,women are likely to be more autonomous in decision making 
ZW,woman,black_or_of_african_descent,18 to 24,,
ZW,woman,black_or_of_african_descent,18 to 24,en,It is where women'`s rights are being recognized by everyone and also it is where all women are fully aware of their rights. It is also where women are empowered to stand for their rights in all sectors of life. 
ZW,,,,,
ZW,woman,black_or_of_african_descent,18 to 24,en,Debatable because we have been trying to make Women human rights to be recognized but there’s a little or no progress in most of all the continents around the world \r\nIt will take ages of years for women rights to be valued and recognition and also respected
ZW,woman,black_or_of_african_descent,25 to 34,en,Equity between the sexes\r\nWomen being judged on merit \r\nDemystifying access to sanitary wear as a luxury but necessity. \r\n
ZW,,,,,
CY,man,black_or_of_african_descent,18 to 24,en,I think in 10 years the must a great improvement in term  of rights. 
BE,,,,ca,
ZW,,,,,
ZW,,,,,
CA,,,,,
ZW,woman,racial_identity_not_listed,35 to 44,en,If they continue fighting for their rights it will be resolved
US,,,,,
CH,woman,white,25 to 34,en,"No more violence against women verbally and physically. Equal pay, equal rights, equal choices. Solutions for (child)care on a comunity level."
CH,cisgender_woman+woman,racial_identity_not_listed+white,45 to 54,en,50% of the members of the parliament are women. 50% of the economic leaders are women. There is no gender-based-violence.
ZW,,,,,
ZW,woman,black_or_of_african_descent,25 to 34,en,"Gender equality in the workplaces, equal pay "
US,,,,,
CA,woman,white,25 to 34,en,
DE,,,,,
KE,woman,black_or_of_african_descent,35 to 44,en,
CA,woman,white,45 to 54,en,Equality and equity - where women are treated equally. 
US,woman,white,45 to 54,en,good
CH,cisgender_woman+woman,white,45 to 54,en,50 / 50
US,woman,white,65 to 74,en,"Equal pay. More women at the table of think tanks , negotiators, and leaders. I hope more respect for women. Better child care. More help for women in their reproductive years...... actually in ten years things will probably look the same, sadly "
US,cisgender_woman+woman,white,25 to 34,en,Less support for reproductive restrictions nationwide and globally. More support for childcare and working mothers. More support for low-income and WOC. 
CH,cisgender_woman,indigenous+white,18 to 24,,
US,,,,,
US,woman,white,65 to 74,en,No change
US,,,,,
US,,,,,
US,,,,,
US,,,,,
ZW,woman,black_or_of_african_descent,35 to 44,en,With the vast number of organisation advocating for women empowerment and education around rights I see a steady shift in the positive as most women will be educated and have an appreciation of the said topic. However there needs a cultural shift as we live in a patriarchal society 
LT,woman,white,55 to 64,en,implemented reproductive rights
CH,cisgender_woman+woman,white,35 to 44,de,"Women* organize themselves, form local but globally organized networks, and thus gain power to outvok individual old white men. They are oriented towards happiness and the good life for themselves, nature and the future."
US,,,,,
US,,,,,
US,woman,racial_identity_not_listed+white,65 to 74,en,More choices for mother’s who wish to stay home with their families.
US,woman,choose_not_to_identify,65 to 74,en,Fine now
CA,woman,asian,18 to 24,en,"Women in leadership, equal pay and safe environment for women"
MX,woman,hispanic_or_latinx,18 to 24,en,"I believe that the gender gap will still exist. However, it will be relatively tight.  \r\n\r\n"
US,,,,,
US,,,,,
CA,cisgender_woman,white,45 to 54,en,We actually see progress for all women. Recent studies such as the one for pay equity show little movement. The pandemic are making things worse for woman overall and is creating a bigger gaps for marginalized women. 
US,,,,,
ZW,man+transgender_man+transgender_woman+woman,black_or_of_african_descent,18 to 24,en,"Since people are now being educated about it and also because tight measures against the violation of human rights are being implemented(jail terms), we are going to be 100% free from abuse and women are going to take back their rights."
US,,,,,
US,,,,,
US,,,,,
PE,,,,,
IN,,,,,
ZW,woman,black_or_of_african_descent,25 to 34,en,Having women not fighting for positions in organization but being given fair chances with men 
CH,cisgender_woman+woman,white,18 to 24,de,"informed and self-determined sexuality, no wage discrimination, no discrimination in pensions, many more women* in leadership positions, change/abolition of role models, no discrimination in science and research (e.B. several bodies and not simply a stereotypical male body are taken for the development of drugs)"
US,woman,white,55 to 64,en,"Continuous revisitation of abortion in every presidential election causes great concern for me.  They'`re still talking about women'`s reproductive right to choose what is best for them at the time they discover tg hem are pregnant. An illness may cause a very risky pregnancy and perhaps it'`s a result of incest, or rape.  It should not be a nation'`s decision as it is a very personal issue.  Yet, I think because it'`s a womans right.... the powers that be see no problem in the consideration of regulating the rights to choose for women.  "
IE,,,,,
NG,woman,black_or_of_african_descent,25 to 34,en,"There are little progress, and so many gaps."
ZW,non_conforming_or_non_binary,black_or_of_african_descent,35 to 44,en,"Queer women have rights. \r\nTrans women are not denied their womanhood.\r\nAll working women are paid fairly, in comparison to men.\r\nEveryone who can get pregnant has access to reproductive healthcare.\r\nThose who wish to abort caj do so in a healthy, legal manner."
NG,woman,choose_not_to_identify,25 to 34,en,Women'`s human rights would be an achieved target in 10 years to come.
AU,cisgender_woman+woman,white,35 to 44,en,"A shift in social norms change to reject violence against women, and hold men accountable for perpetuating this violence. A shift in social norms to see men step up and play an equal role in child raising and domestic work. \r\n\r\nAn expansion of social protection globally so that all women have the financial security to make decisions about their own lives. "
NG,woman,middle_eastern,25 to 34,en,"In 10years from now I want a world Where  women will have the same right as the other gender do,  right to freedom of speech, right to our body .. Gender equality "
NG,woman,middle_eastern,25 to 34,en,10years from now I want a world where women have the same right as everyone to speak for themselves gender equality 
ZW,woman,black_or_of_african_descent,18 to 24,en,Bright 
NG,woman,choose_not_to_identify,35 to 44,en,"In the next 10 years, women'`s human rights would be an achieved target."
ZW,,,,,
ZW,woman,black_or_of_african_descent,18 to 24,en,Its a slow and small change I guess. But its worth it
NG,,,,en,
ZW,woman,black_or_of_african_descent,35 to 44,en,"I see a vigorous progession of a goal driven and headstrong woman. However, I fear an existence of an over represented and protected female where the coin will be flipped if boundaries for boundaries in equality are set. The idea is to have balance of genders. "
NG,woman,black_or_of_african_descent,25 to 34,en,It look achieveable
AU,woman,black_or_of_african_descent,35 to 44,en,"That women are interdependently self sufficient; economically, Socially & politically mobilised & enabled through local and global systemic changes that centres the importance of  empowered women. \r\n\r\nSystemic changes that are holistic, that caters to the needs of every woman in a entirety, so that she may lead, create, birth, serve and move unencumbered. And the world will recognise this a female birthright. "
US,,,,en,
CA,woman,white,25 to 34,en,A place where women have equal opportunity and choice in any matter without being spoken down to as if they have little intelligence and worth. 
US,,,,,
ZW,man,black_or_of_african_descent,35 to 44,en,There is a lot of debate around Women'`s Human Rights but still women face  a lot of GBV  
US,,,,,
US,,,,,
CH,cisgender_woman,white,25 to 34,es,
CH,,,,,
CH,,,,es,
CH,non_conforming_or_non_binary,white,18 to 24,en,Anything is better than now
CH,woman,white,35 to 44,en,No Shitty and useless Porn Industry. It’s just helps Men. Closing pay cap. No femicide!
CH,cisgender_woman+woman,white,18 to 24,es,
CH,woman,white,18 to 24,en,"That everybody has a choice. Here, I think we are pretty well off, but we still have work to do. For example trans-women and non binary people have it unnecessary difficult to get what is needed."
CH,cisgender_woman+woman,white,18 to 24,de,"Equal wages, equal AHV pensions, no sexist dress codes, equal opportunities for high positions"
CH,cisgender_woman,white,18 to 24,de,"Equal pay, proper equality, appropriate treatment, less sexism"
US,woman,white,65 to 74,en,"I hope women will have reproductive freedom, where they have access to free birth control and health care decisions,  are their own, not governed by laws.\r\nThat will will see young girls having more opportunities in traditionally male held fields.\r\nThat women will have equal pay for equal work,\r\nThat women will have paid time off to care for their children.  That daycare will be provided for working women who can'`t afford it.\r\nThat more women will be involved in politics, as we need their understanding and compassion making decisions.\r\nThat women are paid for caregiving their parents."
CH,cisgender_woman+woman,hispanic_or_latinx+white,18 to 24,en,"Political, Social, Economical freedom to know and be able to choose and be able to live a life free of abuse, inequality, have the same opportunities as men, have rights over their bodies and minds and can be and love who they want. "
CH,,,,en,
UK,woman,white,25 to 34,en,gender equality - conversations that recognition of women'`s rights = equal rights for everyone rather than leading to defensiveness. a women'`s movement that is truly intersectional 
UK,woman,white,25 to 34,en,"That every person has the right to free, safe, legal and local abortions.\r\n\r\nThat gender equality is reached for ALL genders. \r\n\r\nThat all people feel safe and comfortable when expressing their identity. \r\n\r\nA women'`s movement which is intersectional. "
US,,,,,
ZA,cisgender_woman+woman,racial_identity_not_listed+white,18 to 24,en,Radically lower femicide rate. Equal opportunities for employment. Free period products so that no girl has to miss school because of her period. Progressive Sexual and reproductive education free and easily accessible including LGBTQ+ sexual education. Eradication of “corrective” rape. Equal education opportunities.lowering of female HIV rates. Free contraceptives and abortions. 
US,,,,,
CH,gender_not_listed+non_conforming_or_non_binary,white,25 to 34,en,Equal rights
US,cisgender_woman+woman,white,25 to 34,en,"Women are at all major decision making tables, and their voices are heard and listened to by those holding power."
AR,cisgender_man+cisgender_woman+man+transgender_man+transgender_woman+woman,middle_eastern+native_american+north_african+southeast_asian,75 or older,en,Women being allowed to make duck noises without being called crazy
US,woman,choose_not_to_identify,35 to 44,en,"All women’s voices being heard & respected even if they don’t agree. Freedom of speech for those with opposing views & not just the mainstream narrative promoters. True informed consent in medical issues like abortion & vaccination (over 70% of women say they felt pressured into abortion, they need to know they have other options). Protection of biological female sports (it is unfair for biological female to have to compete against biological males). Respect for women who choose traditional roles such as raising a family. "
CH,cisgender_woman,biracial_or_mixed+hispanic_or_latinx,25 to 34,en,"equality, no discrimination, empowerment"
UK,,,,en,
US,,,,,
US,,,,,
CH,,,,,
AM,cisgender_woman+woman,choose_not_to_identify,35 to 44,en,
US,,,,,
CH,,,,,
US,,,,,
CH,,,,,
US,,,,,
US,woman,white,35 to 44,en,"Exactly what it looks like today as women have had equal rights for decades, but without letting men into women'`s/girl'`s sports teams and locker rooms"
AU,cisgender_woman+woman,white,25 to 34,en,"Equity and diversity in positions of power and influence like high level governance and politics. Accessible design and policy that considers the diverse needs of all genders. Less violence against women and gender diverse people, particularly ‘invisible’ violence such as domestic physical and sexual abuse. Increase globally in girls attending school until the end of high school. "
